"concept_id","concept_name","concept_code","vocabulary_id","cluster","syndromic","systemic","clinician_interest","cluster_category","chronic_flag","included_in_ps_model"
35207250,"Specific reading disorder","F81.0","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
35207251,"Mathematics disorder","F81.2","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
1568261,"Other developmental disorders of scholastic skills","F81.8","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
45552504,"Disorder of written expression","F81.81","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
45547723,"Other developmental disorders of scholastic skills","F81.89","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
35207252,"Developmental disorder of scholastic skills, unspecified","F81.9","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
35207253,"Specific developmental disorder of motor function","F82","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
1568260,"Specific developmental disorders of scholastic skills","F81","ICD10CM","academic developmental disorder",0,1,"clinician","Neurodevelopment","Y","Y"
45538709,"Unspecified acquired deformity of right thigh","M21.951","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45548354,"Unspecified acquired deformity of unspecified forearm","M21.939","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562671,"Other specified acquired deformities of unspecified upper arm","M21.829","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533783,"Other specified acquired deformities of right upper arm","M21.821","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45606168,"Other specified acquired deformities of unspecified thigh","M21.859","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45556872,"Acquired absence of unspecified hand","Z89.119","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45576205,"Acquired absence of unspecified finger(s)","Z89.029","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
37200693,"Bunion of right foot","M21.611","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582103,"Contracture, left wrist","M24.532","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45542486,"Acquired absence of cervix with remaining uterus","Z90.712","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45595555,"Acquired absence of left upper limb below elbow","Z89.212","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582084,"Flexion deformity, right wrist","M21.231","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547365,"Acquired absence of unspecified upper limb, unspecified level","Z89.209","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45596524,"Unequal limb length (acquired), left tibia","M21.762","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45533777,"Other deformities of toe(s) (acquired), unspecified foot","M20.5X9","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45547372,"Acquired absence of other specified parts of digestive tract","Z90.49","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45562666,"Varus deformity, not elsewhere classified, right ankle","M21.171","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45600370,"Acquired absence of right foot","Z89.431","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45586933,"Contracture, right knee","M24.561","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45553116,"Flexion deformity, right finger joints","M21.241","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45582088,"Other acquired deformities of left foot","M21.6X2","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601383,"Acquired clawfoot, left foot","M21.532","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
45601381,"Flexion deformity, left shoulder","M21.212","ICD10CM","acquired foot deformities",0,1,"agnostic","Musculoskeletal","Y","Y"
