concept_id,concept_name,concept_code,vocabulary_id,cluster
45543237,"Acute embolism and thrombosis of axillary vein, bilateral",I82.A13,ICD10CM,thrombophlebitis_and_thromboembolism
45533514,Chronic embolism and thrombosis of unspecified veins of right upper extremity,I82.701,ICD10CM,thrombophlebitis_and_thromboembolism
45552851,Acute embolism and thrombosis of left popliteal vein,I82.432,ICD10CM,thrombophlebitis_and_thromboembolism
45567226,Atheroembolism of unspecified lower extremity,I75.029,ICD10CM,thrombophlebitis_and_thromboembolism
45557595,"Phlebitis and thrombophlebitis of popliteal vein, bilateral",I80.223,ICD10CM,thrombophlebitis_and_thromboembolism
45534180,"Deep phlebothrombosis in pregnancy, unspecified trimester",O22.30,ICD10CM,thrombophlebitis_and_thromboembolism
45543223,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,I80.291,ICD10CM,thrombophlebitis_and_thromboembolism
45562409,Acute embolism and thrombosis of unspecified veins of unspecified upper extremity,I82.609,ICD10CM,thrombophlebitis_and_thromboembolism
45572138,Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity,I82.4Y2,ICD10CM,thrombophlebitis_and_thromboembolism
45596248,Other arterial embolism and thrombosis of abdominal aorta,I74.09,ICD10CM,thrombophlebitis_and_thromboembolism
35207862,Embolism and thrombosis of arteries of the upper extremities,I74.2,ICD10CM,thrombophlebitis_and_thromboembolism
45601093,"Acute embolism and thrombosis of superficial veins of upper extremity, bilateral",I82.613,ICD10CM,thrombophlebitis_and_thromboembolism
45533513,Chronic embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,I82.5Z9,ICD10CM,thrombophlebitis_and_thromboembolism
35207886,Phlebitis and thrombophlebitis of unspecified site,I80.9,ICD10CM,thrombophlebitis_and_thromboembolism
45596255,Chronic embolism and thrombosis of unspecified popliteal vein,I82.539,ICD10CM,thrombophlebitis_and_thromboembolism
45543217,Atheroembolism of right lower extremity,I75.021,ICD10CM,thrombophlebitis_and_thromboembolism
45591522,Chronic embolism and thrombosis of left axillary vein,I82.A22,ICD10CM,thrombophlebitis_and_thromboembolism
45605849,"Acute embolism and thrombosis of iliac vein, bilateral",I82.423,ICD10CM,thrombophlebitis_and_thromboembolism
45533507,Phlebitis and thrombophlebitis of left popliteal vein,I80.222,ICD10CM,thrombophlebitis_and_thromboembolism
45581821,"Acute embolism and thrombosis of tibial vein, bilateral",I82.443,ICD10CM,thrombophlebitis_and_thromboembolism
45576928,Chronic embolism and thrombosis of other specified veins,I82.891,ICD10CM,thrombophlebitis_and_thromboembolism
45572083,Septic pulmonary embolism with acute cor pulmonale,I26.01,ICD10CM,thrombophlebitis_and_thromboembolism
45538452,Chronic embolism and thrombosis of superior vena cava,I82.211,ICD10CM,thrombophlebitis_and_thromboembolism
45586635,Acute embolism and thrombosis of left femoral vein,I82.412,ICD10CM,thrombophlebitis_and_thromboembolism
35207863,Embolism and thrombosis of arteries of the lower extremities,I74.3,ICD10CM,thrombophlebitis_and_thromboembolism
1553776,Chronic embolism and thrombosis of right peroneal vein,I82.551,ICD10CM,thrombophlebitis_and_thromboembolism
45548082,Acute embolism and thrombosis of deep veins of unspecified upper extremity,I82.629,ICD10CM,thrombophlebitis_and_thromboembolism
45538454,Acute embolism and thrombosis of left iliac vein,I82.422,ICD10CM,thrombophlebitis_and_thromboembolism
45538456,Acute embolism and thrombosis of deep veins of left upper extremity,I82.622,ICD10CM,thrombophlebitis_and_thromboembolism
45562406,Acute embolism and thrombosis of unspecified tibial vein,I82.449,ICD10CM,thrombophlebitis_and_thromboembolism
45543229,Acute embolism and thrombosis of unspecified deep veins of right lower extremity,I82.401,ICD10CM,thrombophlebitis_and_thromboembolism
45605853,Chronic embolism and thrombosis of unspecified femoral vein,I82.519,ICD10CM,thrombophlebitis_and_thromboembolism
45576917,Saddle embolus of abdominal aorta,I74.01,ICD10CM,thrombophlebitis_and_thromboembolism
45591521,Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity,I82.5Z2,ICD10CM,thrombophlebitis_and_thromboembolism
45596257,Chronic embolism and thrombosis of superficial veins of unspecified upper extremity,I82.719,ICD10CM,thrombophlebitis_and_thromboembolism
45567234,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity,I82.409,ICD10CM,thrombophlebitis_and_thromboembolism
45591518,Phlebitis and thrombophlebitis of superficial vessels of right lower extremity,I80.01,ICD10CM,thrombophlebitis_and_thromboembolism
45576925,Chronic embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity,I82.5Y9,ICD10CM,thrombophlebitis_and_thromboembolism
1553756,Phlebitis and thrombophlebitis of right peroneal vein,I80.241,ICD10CM,thrombophlebitis_and_thromboembolism
45581823,Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity,I82.5Y2,ICD10CM,thrombophlebitis_and_thromboembolism
45586576,Other pulmonary embolism with acute cor pulmonale,I26.09,ICD10CM,thrombophlebitis_and_thromboembolism
45543234,Chronic embolism and thrombosis of superficial veins of left upper extremity,I82.712,ICD10CM,thrombophlebitis_and_thromboembolism
45572143,Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity,I82.599,ICD10CM,thrombophlebitis_and_thromboembolism
45557593,Phlebitis and thrombophlebitis of unspecified femoral vein,I80.10,ICD10CM,thrombophlebitis_and_thromboembolism
45533510,Acute embolism and thrombosis of other specified deep vein of right lower extremity,I82.491,ICD10CM,thrombophlebitis_and_thromboembolism
45587287,"Deep phlebothrombosis in pregnancy, first trimester",O22.31,ICD10CM,thrombophlebitis_and_thromboembolism
1553769,Acute embolism and thrombosis of unspecified peroneal vein,I82.459,ICD10CM,thrombophlebitis_and_thromboembolism
45572144,Acute embolism and thrombosis of superficial veins of unspecified upper extremity,I82.619,ICD10CM,thrombophlebitis_and_thromboembolism
45605846,Phlebitis and thrombophlebitis of right tibial vein,I80.231,ICD10CM,thrombophlebitis_and_thromboembolism
45605789,Septic pulmonary embolism without acute cor pulmonale,I26.90,ICD10CM,thrombophlebitis_and_thromboembolism
45605856,Chronic embolism and thrombosis of deep veins of right upper extremity,I82.721,ICD10CM,thrombophlebitis_and_thromboembolism
45543222,Phlebitis and thrombophlebitis of unspecified tibial vein,I80.239,ICD10CM,thrombophlebitis_and_thromboembolism
45581820,Acute embolism and thrombosis of right femoral vein,I82.411,ICD10CM,thrombophlebitis_and_thromboembolism
45606541,"Superficial thrombophlebitis in pregnancy, second trimester",O22.22,ICD10CM,thrombophlebitis_and_thromboembolism
45557594,Phlebitis and thrombophlebitis of unspecified iliac vein,I80.219,ICD10CM,thrombophlebitis_and_thromboembolism
45538450,Phlebitis and thrombophlebitis of right popliteal vein,I80.221,ICD10CM,thrombophlebitis_and_thromboembolism
45538445,Embolism and thrombosis of unspecified parts of aorta,I74.10,ICD10CM,thrombophlebitis_and_thromboembolism
1553749,Single subsegmental pulmonary embolism without acute cor pulmonale,I26.93,ICD10CM,thrombophlebitis_and_thromboembolism
45533441,Chronic pulmonary embolism,I27.82,ICD10CM,thrombophlebitis_and_thromboembolism
45567240,"Chronic embolism and thrombosis of unspecified veins of upper extremity, bilateral",I82.703,ICD10CM,thrombophlebitis_and_thromboembolism
35210369,Superficial thrombophlebitis in the puerperium,O87.0,ICD10CM,thrombophlebitis_and_thromboembolism
45576924,Chronic embolism and thrombosis of unspecified tibial vein,I82.549,ICD10CM,thrombophlebitis_and_thromboembolism
45572135,Phlebitis and thrombophlebitis of unspecified deep vessels of right lower extremity,I80.201,ICD10CM,thrombophlebitis_and_thromboembolism
45605857,"Embolism and thrombosis of superficial veins of lower extremities, bilateral",I82.813,ICD10CM,thrombophlebitis_and_thromboembolism
45591523,Acute embolism and thrombosis of unspecified subclavian vein,I82.B19,ICD10CM,thrombophlebitis_and_thromboembolism
45601085,"Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral",I80.03,ICD10CM,thrombophlebitis_and_thromboembolism
1553763,"Phlebitis and thrombophlebitis of calf muscular vein, bilateral",I80.253,ICD10CM,thrombophlebitis_and_thromboembolism
1553773,"Acute embolism and thrombosis of calf muscular vein, bilateral",I82.463,ICD10CM,thrombophlebitis_and_thromboembolism
45567244,"Chronic embolism and thrombosis of subclavian vein, bilateral",I82.B23,ICD10CM,thrombophlebitis_and_thromboembolism
35207888,Budd-Chiari syndrome,I82.0,ICD10CM,thrombophlebitis_and_thromboembolism
35207884,"Phlebitis and thrombophlebitis of lower extremities, unspecified",I80.3,ICD10CM,thrombophlebitis_and_thromboembolism
45543230,Chronic embolism and thrombosis of left femoral vein,I82.512,ICD10CM,thrombophlebitis_and_thromboembolism
45548085,Chronic embolism and thrombosis of unspecified axillary vein,I82.A29,ICD10CM,thrombophlebitis_and_thromboembolism
35207889,Thrombophlebitis migrans,I82.1,ICD10CM,thrombophlebitis_and_thromboembolism
45533508,"Acute embolism and thrombosis of femoral vein, bilateral",I82.413,ICD10CM,thrombophlebitis_and_thromboembolism
1569147,Pulmonary embolism,I26,ICD10CM,thrombophlebitis_and_thromboembolism
1553759,Phlebitis and thrombophlebitis of unspecified peroneal vein,I80.249,ICD10CM,thrombophlebitis_and_thromboembolism
45538449,Phlebitis and thrombophlebitis of right femoral vein,I80.11,ICD10CM,thrombophlebitis_and_thromboembolism
45552852,Acute embolism and thrombosis of left tibial vein,I82.442,ICD10CM,thrombophlebitis_and_thromboembolism
1569327,Arterial embolism and thrombosis,I74,ICD10CM,thrombophlebitis_and_thromboembolism
45562410,Acute embolism and thrombosis of left subclavian vein,I82.B12,ICD10CM,thrombophlebitis_and_thromboembolism
45576929,"Acute embolism and thrombosis of subclavian vein, bilateral",I82.B13,ICD10CM,thrombophlebitis_and_thromboembolism
1553761,Phlebitis and thrombophlebitis of right calf muscular vein,I80.251,ICD10CM,thrombophlebitis_and_thromboembolism
45572084,Other pulmonary embolism without acute cor pulmonale,I26.99,ICD10CM,thrombophlebitis_and_thromboembolism
45576922,"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",I82.403,ICD10CM,thrombophlebitis_and_thromboembolism
45543236,Embolism and thrombosis of superficial veins of right lower extremity,I82.811,ICD10CM,thrombophlebitis_and_thromboembolism
45538455,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity,I82.499,ICD10CM,thrombophlebitis_and_thromboembolism
35207865,Embolism and thrombosis of iliac artery,I74.5,ICD10CM,thrombophlebitis_and_thromboembolism
