concept_id,concept_name
724904,"SARS-COV-2 (COVID-19) vaccine, UNSPECIFIED"
37003516,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273(N)"
37003431,"SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2(N)"
739902,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating"
780151,"SARS-CoV-2 (COVID-19) vaccine, protein NVX-CoV2373(N)"
37003432,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein"
739901,"SARS-COV-2 (COVID-19) vaccine, vector - Ad26(N)"
780152,"SARS-COV-2 (COVID-19) vaccine, subunit, recombinant spike protein"
742036,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.025 MG/ML"
1525540,"SARS-CoV-2 (COVID-19) vaccine, mRNA-1273 0.05 MG/ML"
