CCSR Domain,CCSR CATEGORY 1,CCSR CATEGORY 1 (PASC) DESCRIPTION,ICD-10-CM Code,ICD-10-CM Code Description,Symptomatic,Measured,syndromic,systemic,clincian_interest,cluster_category,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J301,Allergic rhinitis due to pollen,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J302,Other seasonal allergic rhinitis,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J305,Allergic rhinitis due to food,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J3081,Allergic rhinitis due to animal (cat) (dog) hair and dander,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J3089,Other allergic rhinitis,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,J309,"Allergic rhinitis, unspecified",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L200,Besniers prurigo,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L2081,Atopic neurodermatitis,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L2082,Flexural eczema,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L2083,Infantile (acute) (chronic) eczema,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L2084,Intrinsic (allergic) eczema,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L2089,Other atopic dermatitis,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L209,"Atopic dermatitis, unspecified",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L309,"Dermatitis, unspecified",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L500,Allergic urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L501,Idiopathic urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L502,Urticaria due to cold and heat,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L503,Dermatographic urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L504,Vibratory urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L505,Cholinergic urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L506,Contact urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L508,Other urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L509,"Urticaria, unspecified",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L511,Stevens-Johnson syndrome,,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L512,Toxic epidermal necrolysis [Lyell],,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L513,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome,,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L518,Other erythema multiforme,,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L519,"Erythema multiforme, unspecified",,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L560,Drug phototoxic response,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L561,Drug photoallergic response,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L562,Photocontact dermatitis [berloque dermatitis],1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L563,Solar urticaria,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,L564,Polymorphous light eruption,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,M364,Arthropathy in hypersensitivity reactions classified elsewhere,1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ060,"Toxic effects, subsequent encounter",T510X1D,"Toxic effect of ethanol, accidental (unintentional), subsequent encounter",1,,0,1,agnostic,Adverse events,,,,,,,,,,
Allergic reactions,INJ060,"Toxic effects, subsequent encounter",T510X2D,"Toxic effect of ethanol, intentional self-harm, subsequent encounter",1,,1,0,agnostic,Mental health,,,,,,,,,,
Allergic reactions,INJ060,"Toxic effects, subsequent encounter",T510X3D,"Toxic effect of ethanol, assault, subsequent encounter",1,,0,1,agnostic,Adverse events,,,,,,,,,,
Allergic reactions,INJ060,"Toxic effects, subsequent encounter",T510X4D,"Toxic effect of ethanol, undetermined, subsequent encounter",1,,0,1,agnostic,Adverse events,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,T783XXA,"Angioneurotic edema, initial encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ067,"Allergic reactions, subsequent encounter",T783XXD,"Angioneurotic edema, subsequent encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,T7840XA,"Allergy, unspecified, initial encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ067,"Allergic reactions, subsequent encounter",T7840XD,"Allergy, unspecified, subsequent encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,T7841XA,"Arthus phenomenon, initial encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ067,"Allergic reactions, subsequent encounter",T7841XD,"Arthus phenomenon, subsequent encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,T7849XA,"Other allergy, initial encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ067,"Allergic reactions, subsequent encounter",T7849XD,"Other allergy, subsequent encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ031,Allergic reactions,T788XXA,"Other adverse effects, not elsewhere classified, initial encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Allergic reactions,INJ067,"Allergic reactions, subsequent encounter",T788XXD,"Other adverse effects, not elsewhere classified, subsequent encounter",1,,1,0,agnostic,Allergy/Immunology,,,,,,,,,,
Anemia,BLD003,Anemia,D60,Acquired pure red cell aplasia [erythroblastopenia],,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D61,Other aplastic anemias and other bone marrow failure syndromes,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D610,Constitutional aplastic anemia,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D618,Other specified aplastic anemias and other bone marrow failure syndromes,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D6181,Pancytopenia,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D62,Acute posthemorrhagic anemia,,1,0,1,agnostic,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D631,Anemia in chronic kidney disease,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D638,Anemia in other chronic diseases classified elsewhere,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D64,Other anemias,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D648,Other specified anemias,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D6489,Other specified anemias,,1,0,1,clinician,Hematology,,,,,,,,,,
Anemia,BLD003,Anemia,D649,"Anemia, unspecified",,1,0,1,clinician,Hematology,,,,,,,,,,
