"concept_id","concept_code","concept_name","ccsr_cat_code","cluster"
1567248,"A08","Viral and other specified intestinal infections","INF008","Viral infection"
35205446,"A08.1","Acute gastroenteropathy due to Norwalk agent and other small round viruses","INF008","Viral infection"
35205448,"A08.3","Other viral enteritis","INF008","Viral infection"
1567341,"A85","Other viral encephalitis, not elsewhere classified","INF008","Viral infection"
35205728,"B00.1","Herpesviral vesicular dermatitis","INF008","Viral infection"
45590838,"B00.89","Other herpesviral infection","INF008","Viral infection"
35205733,"B00.9","Herpesviral infection, unspecified","INF008","Viral infection"
1567354,"B01.1","Varicella encephalitis, myelitis and encephalomyelitis","INF008","Viral infection"
45556926,"B01.89","Other varicella complications","INF008","Viral infection"
35205736,"B01.9","Varicella without complication","INF008","Viral infection"
35205737,"B02.0","Zoster encephalitis","INF008","Viral infection"
35205738,"B02.1","Zoster meningitis","INF008","Viral infection"
45542548,"B02.21","Postherpetic geniculate ganglionitis","INF008","Viral infection"
45561738,"B02.22","Postherpetic trigeminal neuralgia","INF008","Viral infection"
45552206,"B02.23","Postherpetic polyneuropathy","INF008","Viral infection"
45556927,"B02.24","Postherpetic myelitis","INF008","Viral infection"
45590840,"B02.29","Other postherpetic nervous system involvement","INF008","Viral infection"
35205739,"B02.7","Disseminated zoster","INF008","Viral infection"
35205740,"B02.8","Zoster with other complications","INF008","Viral infection"
35205741,"B02.9","Zoster without complications","INF008","Viral infection"
35205758,"B09","Unspecified viral infection characterized by skin and mucous membrane lesions","INF008","Viral infection"
35205793,"B33.0","Epidemic myalgia","INF008","Viral infection"
45566544,"B33.20","Viral carditis, unspecified","CIR005","Myocarditis and cardiomyopathy"
45581156,"B33.22","Viral myocarditis","CIR005","Myocarditis and cardiomyopathy"
45571465,"B33.23","Viral pericarditis","CIR006","Pericarditis and pericardial disease"
45590849,"B33.24","Viral cardiomyopathy","CIR005","Myocarditis and cardiomyopathy"
35206022,"B94.8","Sequelae of other specified infectious and parasitic diseases","","PASC-General"
45591023,"E08.351","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
1567853,"D60","Acquired pure red cell aplasia [erythroblastopenia]","BLD003","Anemia"
1567854,"D61","Other aplastic anemias and other bone marrow failure syndromes","BLD003","Anemia"
1567855,"D61.0","Constitutional aplastic anemia","BLD003","Anemia"
1567856,"D61.8","Other specified aplastic anemias and other bone marrow failure syndromes","BLD003","Anemia"
45566706,"D61.81","Pancytopenia","BLD003","Anemia"
35206748,"D62","Acute posthemorrhagic anemia","BLD003","Anemia"
45557089,"D63.1","Anemia in chronic kidney disease","BLD003","Anemia"
35206750,"D63.8","Anemia in other chronic diseases classified elsewhere","BLD003","Anemia"
1567858,"D64","Other anemias","BLD003","Anemia"
35206756,"D64.8","Other specified anemias","BLD003","Anemia"
45586119,"D64.89","Other specified anemias","BLD003","Anemia"
35206757,"D64.9","Anemia, unspecified","BLD003","Anemia"
1567906,"E08","Diabetes mellitus due to underlying condition","","Diabetes mellitus with complication"
1567907,"E08.0","Diabetes mellitus due to underlying condition with hyperosmolarity","","Diabetes mellitus with complication"
45586132,"E08.00","Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)","END003","Diabetes mellitus with complication"
45557106,"E08.01","Diabetes mellitus due to underlying condition with hyperosmolarity with coma","END003","Diabetes mellitus with complication"
1567908,"E08.1","Diabetes mellitus due to underlying condition with ketoacidosis","","Diabetes mellitus with complication"
45571649,"E08.10","Diabetes mellitus due to underlying condition with ketoacidosis without coma","END003","Diabetes mellitus with complication"
45537953,"E08.11","Diabetes mellitus due to underlying condition with ketoacidosis with coma","END003","Diabetes mellitus with complication"
1567909,"E08.2","Diabetes mellitus due to underlying condition with kidney complications","","Diabetes mellitus with complication"
45533009,"E08.21","Diabetes mellitus due to underlying condition with diabetic nephropathy","END003","Diabetes mellitus with complication"
45552372,"E08.22","Diabetes mellitus due to underlying condition with diabetic chronic kidney disease","END003","Diabetes mellitus with complication"
45542728,"E08.29","Diabetes mellitus due to underlying condition with other diabetic kidney complication","END003","Diabetes mellitus with complication"
1567910,"E08.3","Diabetes mellitus due to underlying condition with ophthalmic complications","","Diabetes mellitus with complication"
1567911,"E08.31","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy","","Diabetes mellitus with complication"
45533010,"E08.311","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
45552373,"E08.319","Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema","END003","Diabetes mellitus with complication"
1567912,"E08.32","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy","","Diabetes mellitus with complication"
45600633,"E08.321","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema","END003","Diabetes mellitus with complication"
37200027,"E08.3211","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye","END003","Diabetes mellitus with complication"
37200028,"E08.3212","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye","END003","Diabetes mellitus with complication"
37200029,"E08.3213","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral","END003","Diabetes mellitus with complication"
37200030,"E08.3219","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye","END003","Diabetes mellitus with complication"
