concept_id,description,body_system,progressive
35207083,Cystic fibrosis with other manifestations,pulmonary/respiratory,yes
45576477,"Cystic fibrosis, unspecified",pulmonary/respiratory,yes
35207084,"Cystic fibrosis, unspecified",pulmonary/respiratory,yes
45562095,"Sleep apnea, unspecified",pulmonary/respiratory,no
45581498,Primary central sleep apnea,pulmonary/respiratory,no
45552539,Obstructive sleep apnea (adult) (pediatric),pulmonary/respiratory,no
45605558,Idiopathic sleep related nonobstructive alveolar hypoventilation,pulmonary/respiratory,no
45595947,Congenital central alveolar hypoventilation syndrome,pulmonary/respiratory,yes
45581499,Sleep related hypoventilation in conditions classified elsewhere,pulmonary/respiratory,no
45576591,Central sleep apnea in conditions classified elsewhere,pulmonary/respiratory,no
45600793,Other sleep apnea,pulmonary/respiratory,no
45605258,Malignant neoplasm of hard palate,malignancy,n/a
35205460,"Tuberculosis of nervous system, unspecified",neurological,yes
45595576,Tuberculosis of spine,musculoskeletal,no
45595693,Malignant carcinoid tumors of other sites,malignancy,n/a
45595577,Tuberculous arthritis of other joints,musculoskeletal,no
45585901,Tuberculosis of other bones,musculoskeletal,no
45557250,"Mononeuropathy, unspecified",neurological,no
35207444,"Mononeuropathy, unspecified",neurological,no
45585902,Other musculoskeletal tuberculosis,musculoskeletal,no
45581266,Histiocytic sarcoma,malignancy,n/a
45542706,Alpha thalassemia,hematological,yes
45537714,"Tuberculosis of genitourinary system, unspecified",genitourinary,no
45561936,Other common variable immunodeficiencies,immunological,no
45600400,Tuberculosis of kidney and ureter,genitourinary,no
45552157,Tuberculosis of bladder,genitourinary,no
45552158,Tuberculosis of other urinary organs,genitourinary,no
45552159,Tuberculosis of prostate,genitourinary,no
45605195,Tuberculosis of other male genital organs,genitourinary,no
45581102,Tuberculosis of cervix,genitourinary,no
45600651,Diabetes insipidus,endocrinological,no
45576470,Galactosemia,metabolic,yes
45586251,Kleptomania,mental health,no
45600757,Pathological gambling,mental health,no
45571781,Other conduct disorders,mental health,no
35207325,"Spinal muscular atrophy, unspecified",neurological,yes
45576601,Mononeuritis multiplex,neurological,no
45538251,"Choroidal degeneration, unspecified, bilateral",ophthalmological,no
45567146,"Labyrinthine fistula, right ear",otologic,no
45571417,Tuberculous female pelvic inflammatory disease,genitourinary,no
45586502,Esophoria,ophthalmological,no
45576847,"Labyrinthitis, right ear",otologic,no
45600401,Tuberculosis of other female genital organs,genitourinary,no
35207707,Primary pulmonary hypertension,cardiac,yes
45590799,Tuberculous peripheral lymphadenopathy,immunological,no
45576879,"Heart failure, unspecified",cardiac,yes
35205461,Tuberculous peripheral lymphadenopathy,immunological,no
35208107,Disorders of diaphragm,pulmonary/respiratory,no
45552160,Tuberculous peritonitis,gastrointestinal,no
45595578,Tuberculous enteritis,gastrointestinal,no
45571418,Retroperitoneal tuberculosis,gastrointestinal,no
42616624,"Rheumatoid nodule, multiple sites",immunological,no
45596450,Juvenile rheumatoid polyarthritis (seronegative),immunological,no
45562606,Other juvenile arthritis of right ankle and foot,immunological,no
42616827,"Idiopathic gout, unspecified site",metabolic,no
45547395,Tuberculosis of skin and subcutaneous tissue,dermatological,no
45557865,Polymyositis with myopathy,immunological,no
45543518,"Wrist drop, right wrist",musculoskeletal,no
45533780,"Foot drop, unspecified Foot",musculoskeletal,no
42617142,"Disorder of ligament, unspecified site",musculoskeletal,no
45567789,"Major osseous defect, unspecified site",musculoskeletal,no
35209401,Urethrocele,genitourinary,no
35210699,Malformations of aqueduct of Sylvius,neurological,no
45553674,Congenital cystic lung,pulmonary/respiratory,yes
45595579,"Tuberculosis of eye, unspecified",ophthalmological,no
35205462,Tuberculosis of skin and subcutaneous tissue,dermatological,no
45561686,Tuberculous episcleritis,ophthalmological,no
45561687,Tuberculous keratitis,ophthalmological,no
45557143,Organ-limited amyloidosis,metabolic,yes
45581103,Tuberculous chorioretinitis,ophthalmological,no
35207089,Organ-limited amyloidosis,metabolic,yes
45585903,Tuberculous iridocyclitis,ophthalmological,no
45547396,Other tuberculosis of eye,ophthalmological,no
45556833,Encounter for attention to cystostomy,genitourinary,no
45552161,Tuberculosis of (inner) (middle) ear,otologic,no
35205463,Tuberculosis of (inner) (middle) ear,otologic,no
45552162,Tuberculosis of adrenal glands,endocrinological,no
35205464,Tuberculosis of adrenal glands,endocrinological,no
45561688,Tuberculosis of thyroid gland,endocrinological,no
45532819,Tuberculosis of the endocrine glands,endocrinological,no
45581104,Tuberculosis of heart,cardiac,no
45561689,Tuberculosis of spleen,immunological,no
45542518,Tuberculosis of other sites,pulmonary/respiratory,no
45542519,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no
35205465,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no
45552164,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no
35205466,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no
45542520,"Acute miliary tuberculosis, unspecified",pulmonary/respiratory,no
35205467,"Acute miliary tuberculosis, unspecified",pulmonary/respiratory,no
45585904,Other miliary tuberculosis,pulmonary/respiratory,no
35205468,Other miliary tuberculosis,pulmonary/respiratory,no
45590801,"Miliary tuberculosis, unspecified",pulmonary/respiratory,no
35205469,"Miliary tuberculosis, unspecified",pulmonary/respiratory,no
35205514,Indeterminate leprosy,neurological,no
45600405,Tuberculoid leprosy,neurological,no
35205515,Tuberculoid leprosy,neurological,no
45561696,Borderline tuberculoid leprosy,neurological,no
35205516,Borderline tuberculoid leprosy,neurological,no
45595581,Borderline leprosy,neurological,no
35205517,Borderline leprosy,neurological,no
45566497,Borderline lepromatous leprosy,neurological,no
35205518,Borderline lepromatous leprosy,neurological,no
45585907,Lepromatous leprosy,neurological,no
35205519,Lepromatous leprosy,neurological,no
45600406,Other forms of leprosy,neurological,no
35205520,Other forms of leprosy,neurological,no
45537718,"Leprosy, unspecified",neurological,no
35205521,"Leprosy, unspecified",neurological,no
45571430,Early congenital syphilitic oculopathy,neurological,yes
45571430,Early congenital syphilitic oculopathy,neurological,yes
45600414,Early congenital syphilitic osteochrondropathy,neurological,yes
45537728,Early congenital syphilitic pharyngitis,neurological,yes
45571431,Early congenital syphilitic pneumonia,neurological,yes
45542531,Early congenital syphilitic rhinitis,neurological,yes
45561709,Early cutaneous congenital syphilis,neurological,yes
45561709,Early cutaneous congenital syphilis,neurological,yes
45600415,Early mucocutaneous congenital syphilis,neurological,yes
45581114,Early visceral congenital syphilis,neurological,yes
45571432,"Other early congenital syphilis, symptomatic",neurological,yes
45547411,"Early congenital syphilis, latent",neurological,yes
35205580,"Early congenital syphilis, latent",neurological,yes
45590817,"Early congenital syphilis, unspecified",neurological,yes
35205581,"Early congenital syphilis, unspecified",neurological,yes
45585916,"Late congenital syphilitic oculopathy, unspecified",neurological,yes
45585917,Late congenital syphilitic interstitial keratitis,neurological,yes
45552183,Late congenital syphilitic chorioretinitis,neurological,yes
45552184,Other late congenital syphilitic oculopathy,neurological,yes
45576240,"Late congenital neurosyphilis, unspecified",neurological,yes
45566507,Late congenital syphilitic meningitis,neurological,yes
45566508,Late congenital syphilitic encephalitis,neurological,yes
45566509,Late congenital syphilitic polyneuropathy,neurological,yes
45605206,Late congenital syphilitic optic nerve atrophy,neurological,yes
45561711,Juvenile general paresis,neurological,yes
45537729,Other late congenital neurosyphilis,neurological,yes
45561712,Clutton's joints,neurological,yes
45561713,Hutchinson's teeth,neurological,yes
45581117,Hutchinson's triad,neurological,yes
45566510,Late congenital cardiovascular syphilis,neurological,yes
45556904,Late congenital syphilitic arthropathy,neurological,yes
45561714,Late congenital syphilitic osteochrondropathy,neurological,yes
45600416,Syphilitic saddle nose,neurological,yes
45547412,"Other late congenital syphilis, symptomatic",neurological,yes
45581118,"Late congenital syphilis, latent",neurological,yes
35205582,"Late congenital syphilis, latent",neurological,yes
45532840,"Late congenital syphilis, unspecified",neurological,yes
35205583,"Late congenital syphilis, unspecified",neurological,yes
45585918,"Congenital syphilis, unspecified",neurological,yes
35205584,"Congenital syphilis, unspecified",neurological,yes
45581120,"Symptomatic neurosyphilis, unspecified",neurological,yes
45552186,Other cerebrospinal syphilis,neurological,yes
45585922,Late syphilitic meningitis,neurological,yes
45581121,Late syphilitic encephalitis,neurological,yes
45600419,Late syphilitic neuropathy,neurological,yes
45561715,Charcot's arthropathy (tabetic),neurological,yes
45605207,General paresis,neurological,yes
45581122,Other symptomatic neurosyphilis,neurological,yes
45556906,Asymptomatic neurosyphilis,neurological,yes
35205590,Asymptomatic neurosyphilis,neurological,yes
45600420,"Neurosyphilis, unspecified",neurological,yes
35205591,"Neurosyphilis, unspecified",neurological,yes
45571437,Late syphilitic oculopathy,neurological,yes
45571438,Syphilis of lung and bronchus,neurological,yes
45571439,Symptomatic late syphilis of other respiratory organs,neurological,yes
45537733,Syphilis of liver and other viscera,neurological,yes
45561716,Syphilis of kidney and ureter,neurological,yes
45576244,Other genitourinary symptomatic late syphilis,neurological,yes
45600421,Syphilis of bone and joint,neurological,yes
45537734,Syphilis of other musculoskeletal tissue,neurological,yes
45581123,Other symptomatic late syphilis,neurological,yes
45561717,"Late syphilis, latent",neurological,yes
35205592,"Late syphilis, latent",neurological,yes
45556907,"Late syphilis, unspecified",neurological,yes
35205593,"Late syphilis, unspecified",neurological,yes
45532844,"Latent syphilis, unspecified as early or late",neurological,yes
35205594,"Latent syphilis, unspecified as early or late",neurological,yes
45600422,"Syphilis, unspecified",neurological,yes
35205595,"Syphilis, unspecified",neurological,yes
45590831,"Creutzfeldt-Jakob disease, unspecified",neurological,yes
45590832,Variant Creutzfeldt-Jakob disease,neurological,yes
45595597,Other Creutzfeldt-Jakob disease,neurological,yes
45590833,Subacute sclerosing panencephalitis,neurological,yes
35205664,Subacute sclerosing panencephalitis,neurological,yes
45537745,Progressive multifocal leukoencephalopathy,neurological,yes
35205665,Progressive multifocal leukoencephalopathy,neurological,yes
45561727,Kuru,neurological,yes
45600438,Gerstmann-Straussler-Scheinker syndrome,neurological,yes
45556919,Fatal familial insomnia,neurological,yes
45590834,Other atypical virus infections of central nervous system,neurological,yes
45585934,"Atypical virus infection of central nervous system, unspecified",neurological,yes
35205667,"Atypical virus infection of central nervous system, unspecified",neurological,yes
45576256,Human herpesvirus 6 encephalitis,neurological,yes
45537753,Other human herpesvirus encephalitis,neurological,yes
45571458,Human immunodeficiency virus [HIV] disease,immunological,yes
35205776,Human immunodeficiency virus [HIV] disease,immunological,yes
45595627,Sequelae of central nervous system tuberculosis,neurological,yes
35206012,Sequelae of central nervous system tuberculosis,neurological,yes
45561772,Sequelae of genitourinary tuberculosis,genitourinary,no
35206013,Sequelae of genitourinary tuberculosis,genitourinary,no
45566564,Sequelae of tuberculosis of bones and joints,musculoskeletal,no
35206014,Sequelae of tuberculosis of bones and joints,musculoskeletal,no
45571483,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no
35206015,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no
45547474,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no
35206016,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no
45547475,Sequelae of poliomyelitis,neurological,yes
35206017,Sequelae of poliomyelitis,neurological,yes
45561777,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",immunological,yes
45595633,Malignant neoplasm of external upper lip,malignancy,n/a
35206047,Malignant neoplasm of external upper lip,malignancy,n/a
45581198,Malignant neoplasm of external lower lip,malignancy,n/a
35206048,Malignant neoplasm of external lower lip,malignancy,n/a
45556958,"Malignant neoplasm of external lip, unspecified",malignancy,n/a
35206049,"Malignant neoplasm of external lip, unspecified",malignancy,n/a
45576294,"Malignant neoplasm of upper lip, inner aspect",malignancy,n/a
35206050,"Malignant neoplasm of upper lip, inner aspect",malignancy,n/a
45552242,"Malignant neoplasm of lower lip, inner aspect",malignancy,n/a
35206051,"Malignant neoplasm of lower lip, inner aspect",malignancy,n/a
45556959,"Malignant neoplasm of lip, unspecified, inner aspect",malignancy,n/a
35206052,"Malignant neoplasm of lip, unspecified, inner aspect",malignancy,n/a
45590875,"Malignant neoplasm of commissure of lip, unspecified",malignancy,n/a
35206053,"Malignant neoplasm of commissure of lip, unspecified",malignancy,n/a
45581199,Malignant neoplasm of overlapping sites of lip,malignancy,n/a
35206054,Malignant neoplasm of overlapping sites of lip,malignancy,n/a
45537786,"Malignant neoplasm of lip, unspecified",malignancy,n/a
35206055,"Malignant neoplasm of lip, unspecified",malignancy,n/a
45571487,Malignant neoplasm of base of tongue,malignancy,n/a
35206056,Malignant neoplasm of base of tongue,malignancy,n/a
45576295,Malignant neoplasm of dorsal surface of tongue,malignancy,n/a
35206057,Malignant neoplasm of dorsal surface of tongue,malignancy,n/a
45542579,Malignant neoplasm of border of tongue,malignancy,n/a
35206058,Malignant neoplasm of border of tongue,malignancy,n/a
45605256,Malignant neoplasm of ventral surface of tongue,malignancy,n/a
35206059,Malignant neoplasm of ventral surface of tongue,malignancy,n/a
45566570,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",malignancy,n/a
35206060,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",malignancy,n/a
45561780,Malignant neoplasm of lingual tonsil,malignancy,n/a
35206061,Malignant neoplasm of lingual tonsil,malignancy,n/a
45566571,Malignant neoplasm of overlapping sites of tongue,malignancy,n/a
35206062,Malignant neoplasm of overlapping sites of tongue,malignancy,n/a
45537787,"Malignant neoplasm of tongue, unspecified",malignancy,n/a
35206063,"Malignant neoplasm of tongue, unspecified",malignancy,n/a
45605257,Malignant neoplasm of upper gum,malignancy,n/a
35206064,Malignant neoplasm of upper gum,malignancy,n/a
45561781,Malignant neoplasm of lower gum,malignancy,n/a
35206065,Malignant neoplasm of lower gum,malignancy,n/a
45585981,"Malignant neoplasm of gum, unspecified",malignancy,n/a
35206066,"Malignant neoplasm of gum, unspecified",malignancy,n/a
45532891,Malignant neoplasm of anterior floor of mouth,malignancy,n/a
35206067,Malignant neoplasm of anterior floor of mouth,malignancy,n/a
45595634,Malignant neoplasm of lateral floor of mouth,malignancy,n/a
35206068,Malignant neoplasm of lateral floor of mouth,malignancy,n/a
45537788,Malignant neoplasm of overlapping sites of floor of mouth,malignancy,n/a
35206069,Malignant neoplasm of overlapping sites of floor of mouth,malignancy,n/a
45547478,"Malignant neoplasm of floor of mouth, unspecified",malignancy,n/a
35206070,"Malignant neoplasm of floor of mouth, unspecified",malignancy,n/a
35206071,Malignant neoplasm of hard palate,malignancy,n/a
45537789,Malignant neoplasm of soft palate,malignancy,n/a
35206072,Malignant neoplasm of soft palate,malignancy,n/a
45542580,Malignant neoplasm of uvula,malignancy,n/a
35206073,Malignant neoplasm of uvula,malignancy,n/a
45556960,Malignant neoplasm of overlapping sites of palate,malignancy,n/a
35206074,Malignant neoplasm of overlapping sites of palate,malignancy,n/a
45600475,"Malignant neoplasm of palate, unspecified",malignancy,n/a
35206075,"Malignant neoplasm of palate, unspecified",malignancy,n/a
45600476,Malignant neoplasm of cheek mucosa,malignancy,n/a
35206076,Malignant neoplasm of cheek mucosa,malignancy,n/a
45576297,Malignant neoplasm of vestibule of mouth,malignancy,n/a
35206077,Malignant neoplasm of vestibule of mouth,malignancy,n/a
45561782,Malignant neoplasm of retromolar area,malignancy,n/a
35206078,Malignant neoplasm of retromolar area,malignancy,n/a
45552243,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,malignancy,n/a
1567467,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,malignancy,n/a
45537790,Malignant neoplasm of overlapping sites of unspecified parts of mouth,malignancy,n/a
45561783,Malignant neoplasm of overlapping sites of other parts of mouth,malignancy,n/a
45556961,"Malignant neoplasm of mouth, unspecified",malignancy,n/a
35206079,"Malignant neoplasm of mouth, unspecified",malignancy,n/a
45576298,Malignant neoplasm of parotid gland,malignancy,n/a
35206080,Malignant neoplasm of parotid gland,malignancy,n/a
45542581,Malignant neoplasm of submandibular gland,malignancy,n/a
35206081,Malignant neoplasm of submandibular gland,malignancy,n/a
45600477,Malignant neoplasm of sublingual gland,malignancy,n/a
35206082,Malignant neoplasm of sublingual gland,malignancy,n/a
45566572,"Malignant neoplasm of major salivary gland, unspecified",malignancy,n/a
35206083,"Malignant neoplasm of major salivary gland, unspecified",malignancy,n/a
45566573,Malignant neoplasm of tonsillar fossa,malignancy,n/a
35206084,Malignant neoplasm of tonsillar fossa,malignancy,n/a
45576299,Malignant neoplasm of tonsillar pillar (anterior) (posterior),malignancy,n/a
35206085,Malignant neoplasm of tonsillar pillar (anterior) (posterior),malignancy,n/a
45585983,Malignant neoplasm of overlapping sites of tonsil,malignancy,n/a
35206086,Malignant neoplasm of overlapping sites of tonsil,malignancy,n/a
45600478,"Malignant neoplasm of tonsil, unspecified",malignancy,n/a
35206087,"Malignant neoplasm of tonsil, unspecified",malignancy,n/a
45532892,Malignant neoplasm of vallecula,malignancy,n/a
35206088,Malignant neoplasm of vallecula,malignancy,n/a
45537791,Malignant neoplasm of anterior surface of epiglottis,malignancy,n/a
35206089,Malignant neoplasm of anterior surface of epiglottis,malignancy,n/a
45566574,Malignant neoplasm of lateral wall of oropharynx,malignancy,n/a
35206090,Malignant neoplasm of lateral wall of oropharynx,malignancy,n/a
45590876,Malignant neoplasm of posterior wall of oropharynx,malignancy,n/a
35206091,Malignant neoplasm of posterior wall of oropharynx,malignancy,n/a
45542582,Malignant neoplasm of branchial cleft,malignancy,n/a
35206092,Malignant neoplasm of branchial cleft,malignancy,n/a
45542583,Malignant neoplasm of overlapping sites of oropharynx,malignancy,n/a
35206093,Malignant neoplasm of overlapping sites of oropharynx,malignancy,n/a
45595636,"Malignant neoplasm of oropharynx, unspecified",malignancy,n/a
35206094,"Malignant neoplasm of oropharynx, unspecified",malignancy,n/a
45605259,Malignant neoplasm of superior wall of nasopharynx,malignancy,n/a
35206095,Malignant neoplasm of superior wall of nasopharynx,malignancy,n/a
45595637,Malignant neoplasm of posterior wall of nasopharynx,malignancy,n/a
35206096,Malignant neoplasm of posterior wall of nasopharynx,malignancy,n/a
45552244,Malignant neoplasm of lateral wall of nasopharynx,malignancy,n/a
35206097,Malignant neoplasm of lateral wall of nasopharynx,malignancy,n/a
45547479,Malignant neoplasm of anterior wall of nasopharynx,malignancy,n/a
35206098,Malignant neoplasm of anterior wall of nasopharynx,malignancy,n/a
45605260,Malignant neoplasm of overlapping sites of nasopharynx,malignancy,n/a
35206099,Malignant neoplasm of overlapping sites of nasopharynx,malignancy,n/a
45576300,"Malignant neoplasm of nasopharynx, unspecified",malignancy,n/a
35206100,"Malignant neoplasm of nasopharynx, unspecified",malignancy,n/a
45576301,Malignant neoplasm of pyriform sinus,malignancy,n/a
35206101,Malignant neoplasm of pyriform sinus,malignancy,n/a
45537793,Malignant neoplasm of postcricoid region,malignancy,n/a
35206102,Malignant neoplasm of postcricoid region,malignancy,n/a
45595638,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",malignancy,n/a
35206103,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",malignancy,n/a
45561785,Malignant neoplasm of posterior wall of hypopharynx,malignancy,n/a
35206104,Malignant neoplasm of posterior wall of hypopharynx,malignancy,n/a
45590877,Malignant neoplasm of overlapping sites of hypopharynx,malignancy,n/a
35206105,Malignant neoplasm of overlapping sites of hypopharynx,malignancy,n/a
45542584,"Malignant neoplasm of hypopharynx, unspecified",malignancy,n/a
35206106,"Malignant neoplasm of hypopharynx, unspecified",malignancy,n/a
35206911,Diabetes insipidus,endocrinological,no
45605261,"Malignant neoplasm of pharynx, unspecified",malignancy,n/a
35206107,"Malignant neoplasm of pharynx, unspecified",malignancy,n/a
45561786,Malignant neoplasm of Waldeyer's ring,malignancy,n/a
35206108,Malignant neoplasm of Waldeyer's ring,malignancy,n/a
45600479,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",malignancy,n/a
35206109,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",malignancy,n/a
45576302,Malignant neoplasm of upper third of esophagus,malignancy,n/a
35206110,Malignant neoplasm of upper third of esophagus,malignancy,n/a
45595639,Malignant neoplasm of middle third of esophagus,malignancy,n/a
35206111,Malignant neoplasm of middle third of esophagus,malignancy,n/a
45547480,Malignant neoplasm of lower third of esophagus,malignancy,n/a
35206112,Malignant neoplasm of lower third of esophagus,malignancy,n/a
45590879,Malignant neoplasm of overlapping sites of esophagus,malignancy,n/a
35206113,Malignant neoplasm of overlapping sites of esophagus,malignancy,n/a
45571489,"Malignant neoplasm of esophagus, unspecified",malignancy,n/a
35206114,"Malignant neoplasm of esophagus, unspecified",malignancy,n/a
45556964,Malignant neoplasm of cardia,malignancy,n/a
35206115,Malignant neoplasm of cardia,malignancy,n/a
45581201,Malignant neoplasm of fundus of stomach,malignancy,n/a
35206116,Malignant neoplasm of fundus of stomach,malignancy,n/a
45547481,Malignant neoplasm of body of stomach,malignancy,n/a
35206117,Malignant neoplasm of body of stomach,malignancy,n/a
45585984,Malignant neoplasm of pyloric antrum,malignancy,n/a
35206118,Malignant neoplasm of pyloric antrum,malignancy,n/a
45532894,Malignant neoplasm of pylorus,malignancy,n/a
35206119,Malignant neoplasm of pylorus,malignancy,n/a
45600483,"Malignant neoplasm of lesser curvature of stomach, unspecified",malignancy,n/a
35206120,"Malignant neoplasm of lesser curvature of stomach, unspecified",malignancy,n/a
45542585,"Malignant neoplasm of greater curvature of stomach, unspecified",malignancy,n/a
