"concept_id","concept_code","concept_name","codeset","vocabulary_id"
23798,55355000,"Acute laryngopharyngitis","sore_throat","SNOMED"
24660,17741008,"Acute tonsillitis","sore_throat","SNOMED"
25297,363746003,"Acute pharyngitis","sore_throat","SNOMED"
27321,196746003,"Persistent vomiting","nausea_vomiting_diarrhea","SNOMED"
27674,16932000,"Nausea and vomiting","nausea_vomiting_diarrhea","SNOMED"
31967,422587007,"Nausea","nausea_vomiting_diarrhea","SNOMED"
79908,26544005,"Muscle weakness","malaise_fatigue","SNOMED"
136030,186694006,"Sweating fever","fever_chills","SNOMED"
193322,301754002,"Right lower quadrant pain","abdominal_pain","SNOMED"
194175,301715003,"Left upper quadrant pain","abdominal_pain","SNOMED"
194491,301403003,"Tenderness of epigastrium","abdominal_pain","SNOMED"
194755,439774009,"Tenderness of left lower quadrant of abdomen","abdominal_pain","SNOMED"
195083,301716002,"Left lower quadrant pain","abdominal_pain","SNOMED"
197381,79922009,"Epigastric pain","abdominal_pain","SNOMED"
197981,43478001,"Abdominal tenderness","abdominal_pain","SNOMED"
197988,102614006,"Generalized abdominal pain","abdominal_pain","SNOMED"
198263,301717006,"Right upper quadrant pain","abdominal_pain","SNOMED"
200219,21522001,"Abdominal pain","abdominal_pain","SNOMED"
201418,271832001,"Flatulence, eructation and gas pain","abdominal_pain","SNOMED"
254761,49727002,"Cough","cough","SNOMED"
257683,75803007,"Posterior rhinorrhea","nasal_congestion","SNOMED"
312437,267036007,"Dyspnea","respsxs","SNOMED"
317376,271823003,"Tachypnea","respsxs","SNOMED"
373463,95658004,"Cough headache syndrome","headache","SNOMED"
376382,398057008,"Tension-type headache","headache","SNOMED"
378253,25064002,"Headache","headache","SNOMED"
433879,88522004,"Umbilical pain","abdominal_pain","SNOMED"
437113,13791008,"Asthenia","malaise_fatigue","SNOMED"
437663,386661006,"Fever","fever_chills","SNOMED"
439676,186747009,"Coronavirus infection","covid_dx","SNOMED"
439926,271795006,"Malaise and fatigue","malaise_fatigue","SNOMED"
