"concept_id","concept_code","vocabulary_id","codeset","concept_name"
783082,"OMOP4830914","Milrinone Injectable Solution [COROTROPE]","pressors","Milrinone Injectable Solution [COROTROPE]"
783083,"OMOP4830915","Milrinone 1 MG/ML Injectable Solution [COROTROPE]","pressors","Milrinone 1 MG/ML Injectable Solution [COROTROPE]"
783084,"OMOP4830916","Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10","pressors","Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10"
783670,"OMOP4831502","Dobutamine Injectable Solution [Dobutamine EG]","pressors","Dobutamine Injectable Solution [Dobutamine EG]"
783671,"OMOP4831503","Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG]","pressors","Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG]"
783672,"OMOP4831504","Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10","pressors","Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10"
784545,"OMOP4832364","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE]","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE]"
784546,"OMOP4832365","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10"
784547,"OMOP4832366","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10 by Sanofi","pressors","10 ML Milrinone 1 MG/ML Injectable Solution [COROTROPE] Box of 10 by Sanofi"
784675,"OMOP4832493","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG]","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG]"
784676,"OMOP4832494","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10"
784677,"OMOP4832495","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10 by Eurogenerics","pressors","20 ML Dobutamine 12.5 MG/ML Injectable Solution [Dobutamine EG] Box of 10 by Eurogenerics"
793740,"1939322","5 ML milrinone lactate 1 MG/ML Injection","pressors","5 ML milrinone lactate 1 MG/ML Injection"
1337720,"3616","dobutamine","pressors","dobutamine"
1337748,"328215","dobutamine 12.5 MG/ML","pressors","dobutamine 12.5 MG/ML"
1337749,"328216","dobutamine 0.5 MG/ML","pressors","dobutamine 0.5 MG/ML"
1337750,"328217","dobutamine 1 MG/ML","pressors","dobutamine 1 MG/ML"
1337751,"328218","dobutamine 4 MG/ML","pressors","dobutamine 4 MG/ML"
1337753,"345811","dobutamine 2 MG/ML","pressors","dobutamine 2 MG/ML"
1337860,"3628","dopamine","pressors","dopamine"
1344014,"245317","epinephrine 0.5 MG/ML Injectable Solution","pressors","epinephrine 0.5 MG/ML Injectable Solution"
1368671,"52769","milrinone","pressors","milrinone"
1507835,"11149","vasopressin (USP)","pressors","vasopressin (USP)"
1507837,"242938","vasopressin (USP) 5 UNT/ML Injectable Suspension","pressors","vasopressin (USP) 5 UNT/ML Injectable Suspension"
1507838,"313578","vasopressin (USP) 20 UNT/ML Injectable Solution","pressors","vasopressin (USP) 20 UNT/ML Injectable Solution"
1507839,"316883","vasopressin (USP) 20 UNT/ML","pressors","vasopressin (USP) 20 UNT/ML"
1719036,"1812167","dobutamine Injection","pressors","dobutamine Injection"
1719036,"1812167","dobutamine Injection","pressors","dobutamine Injection"
1719037,"1812168","20 ML dobutamine 12.5 MG/ML Injection","pressors","20 ML dobutamine 12.5 MG/ML Injection"
1719038,"1812169","dobutamine 12.5 MG/ML Injection","pressors","dobutamine 12.5 MG/ML Injection"
1719039,"1812170","40 ML dobutamine 12.5 MG/ML Injection","pressors","40 ML dobutamine 12.5 MG/ML Injection"
1719040,"1812184","dobutamine 2 MG/ML Injection","pressors","dobutamine 2 MG/ML Injection"
1719041,"1812186","dobutamine 4 MG/ML Injection","pressors","dobutamine 4 MG/ML Injection"
1719042,"1812188","dobutamine 1 MG/ML Injection","pressors","dobutamine 1 MG/ML Injection"
2024773,"OMOP4923355","500 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","500 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution"
2024774,"OMOP4923356","500 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024775,"OMOP4923357","500 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","500 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2024776,"OMOP4923358","500 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024777,"OMOP4923359","500 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","500 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution"
2024778,"OMOP4923360","500 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024779,"OMOP4923361","500 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dopamine 0.8 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024780,"OMOP4923362","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution"
2024781,"OMOP4923363","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by CJ","pressors","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by CJ"
2024782,"OMOP4923364","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dobutamine 4 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024783,"OMOP4923365","500 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dobutamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2024784,"OMOP4923366","500 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","500 ML dobutamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025261,"OMOP4923847","250 ML dopamine 3.2 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dopamine 3.2 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025262,"OMOP4923848","250 ML dopamine 3.2 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dopamine 3.2 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025263,"OMOP4923849","250 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution"
2025264,"OMOP4923850","250 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dopamine 2 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025265,"OMOP4923851","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter","pressors","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by Baxter"
2025266,"OMOP4923852","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution"
2025267,"OMOP4923853","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dopamine 1.6 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
2025268,"OMOP4923854","250 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution","pressors","250 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution"
2025269,"OMOP4923855","250 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW","pressors","250 ML dopamine 1 MG/ML / glucose 50 MG/ML Injectable Solution by JW"
